"Periodo_Clave
Periodo",Periodo_Año,Periodo_Trimestre,"Infraestructura
Banca, Socap y Sofipo_Sucursales","Infraestructura
Banca, Socap y Sofipo_Cajeros automáticos","Infraestructura
Banca, Socap y Sofipo_TPV","Infraestructura
Banca, Socap y Sofipo_Establecimientos con TPV","Infraestructura
Banca, Socap y Sofipo_Corresponsales","Infraestructura
Banca, Socap y Sofipo_Cuentas ligadas a celular","Infraestructura
Banca, Socap y Sofipo_Transacciones en cajeros","Infraestructura
Banca, Socap y Sofipo_Transacciones en TPV","Captación
Banca_Ahorro","Captación
Banca_Plazo","Captación
Banca_N1","Captación
Banca_N2","Captación
Banca_N3","Captación
Banca_Tradicionales","Captación
Banca_Simplificadas","Captación
Banca_Total","Captación
EACP_Ahorro","Captación
EACP_Plazo","Captación
EACP_Vista","Captación
EACP_Total","Crédito
Banca_Tarjeta de crédito","Crédito
Banca_Personal","Crédito
Banca_Nómina","Crédito
Banca_ABCD","Crédito
Banca_Grupal","Crédito
Banca_Hipotecario","Crédito
Banca_Automotriz","Crédito
Banca_Total","Crédito
EACP_Tarjeta de crédito","Crédito
EACP_Consumo","Crédito
EACP_Vivienda","Crédito
EACP_Comercial","Crédito
EACP_Total","Crédito
EACP_Total sin comercial","Cuentas de captación
Banca_Mujeres","Cuentas de captación
Banca_Hombres","Cuentas de captación
Banca_Brecha","Crédito
Banca_Mujeres","Crédito
Banca_Hombres","Crédito
Banca_Brecha","Créditos hipotecarios
Banca múltiple_Mujeres","Créditos hipotecarios
Banca múltiple_Hombres","Créditos hipotecarios
Banca múltiple_Brecha","Tarjetas de débito
Banca_Mujeres","Tarjetas de débito
Banca_Hombres","Tarjetas de débito
Banca_Brecha","Tarjetas de crédito
Banca_Mujeres","Tarjetas de crédito
Banca_Hombres","Tarjetas de crédito
Banca_Brecha","Captación
EACP_Mujeres","Captación
EACP_Hombres","Captación
EACP_Brecha","Crédito al consumo
EACP_Mujeres","Crédito al consumo
EACP_Hombres","Crédito al consumo
EACP_Brecha","Crédito a la vivienda
EACP_Mujeres","Crédito a la vivienda
EACP_Hombres","Crédito a la vivienda
EACP_Brecha","Crédito comercial
EACP_Mujeres","Crédito comercial
EACP_Hombres","Crédito comercial
EACP_Brecha"
20104T,2010,4T,"13,579","36,329","482,299",,"10,785",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20111T,2011,1T,"13,811","36,759","492,747",,"11,011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20112T,2011,2T,"13,780","36,186","498,389","413,292","11,357",,"126,519,218","74,178,525","66,039","2,873,099","3,364,422","2,191,133","11,545","62,211,513","5,567,100","70,717,751",,,,,"25,614,051","3,526,516","3,094,035","9,231,196","2,318,525","809,486","504,753","45,098,562",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20113T,2011,3T,"13,909","36,098","500,294","419,308","14,009",,"123,359,796","69,683,962","63,189","2,880,461","4,832,076","2,391,338","26,566","68,622,715","7,249,980","78,816,345",,,,,"26,517,001","3,835,717","3,234,527","2,996,373","2,467,545","835,746","505,774","40,392,683",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20114T,2011,4T,"13,966","36,809","522,079","433,215","22,652","162,445","147,131,077","85,781,865","62,488","2,610,406","10,638,835","16,891","9,539","65,892,907","10,665,265","79,231,066",,,,,"27,222,004","4,440,317","3,488,450","3,004,906","2,559,117","883,456","553,533","42,151,783",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20121T,2012,1T,"14,265","38,531","543,245","439,208","22,138","203,927","135,884,810","81,111,439","62,114","2,608,445","10,749,455","124,339","13,222","67,238,695","10,887,016","80,796,270",,,,,"27,430,324","4,794,274","3,571,158","3,028,478","2,561,563","918,177","609,966","42,913,940",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20122T,2012,2T,"14,599","39,277","566,202","409,958","26,937","262,971","132,047,252","73,231,988","59,253","2,834,311","17,995,415","1,557,855","20,007","68,940,962","19,573,277","91,407,803",,,,,"24,761,064","5,967,477","3,735,413","2,791,289","2,561,563","954,568","613,463","41,384,837",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20123T,2012,3T,"15,056","40,160","538,185","425,572","28,147","337,913","127,235,795","81,066,259","61,039","2,605,817","18,838,393","1,758,548","104,844","69,206,852","20,701,785","92,575,493",,,,,"25,572,673","6,466,735","3,835,623","2,761,134","2,718,664","1,005,775","609,928","42,970,532",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20124T,2012,4T,"15,355","40,770","556,335","435,181","28,877","804,101","150,862,710","97,004,157","61,477","2,616,263","12,430,580","2,379,575","278,287","69,732,942","15,088,442","87,499,124",,,,,"25,435,375","7,546,376","3,794,673","2,671,921","2,749,692","1,061,723","604,573","43,864,333",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131T,2013,1T,"15,650","40,426","586,393","447,275","29,244","1,077,590","136,017,017","89,678,559","41,159","2,759,279","6,029,442","5,525,681","409,897","73,186,838","11,965,020","87,952,296",,,,,"25,490,102","9,462,195","3,822,504","2,615,180","2,770,023","1,116,387","603,955","45,880,346",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20132T,2013,2T,"15,477","40,390","604,017","456,126","28,758","1,535,669","134,198,785","93,692,980","23,122","3,154,321","2,440,985","6,109,347","434,668","76,680,318","8,985,000","88,842,761","409,650","538,482","8,310,715","9,258,847","26,500,489","10,250,301","4,606,124","2,460,974","2,840,980","1,174,403","600,373","48,433,644",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20133T,2013,3T,"15,723","40,980","620,535","463,293","29,601","2,170,533","126,140,041","89,930,352","40,606","3,127,349","2,155,010","7,955,342","404,208","76,068,094","10,514,560","89,750,609","435,840","557,618","8,583,946","9,577,404","25,821,589","10,883,340","4,679,325","2,294,627","2,883,911","1,263,002","601,942","48,427,736",,"2,700,001","76,929","647,086","3,424,016","2,776,930",,,,,,,,,,,,,,,,,,,,,,,,,,,
20134T,2013,4T,"15,924","41,468","626,993","478,463","29,000","2,699,378","149,765,418","111,351,334","11,230","3,206,000","2,115,593","6,843,888","462,573","76,420,809","9,422,054","89,060,093","472,633","621,663","9,219,035","10,313,331","26,317,415","11,488,167","4,476,154","2,153,908","2,767,911","1,297,277","588,889","49,089,721",,"2,840,211","73,304","669,833","3,583,348","2,913,515",,,,,,,,,,,,,,,,,,,,,,,,,,,
20141T,2014,1T,"16,142","41,729","619,914","492,487","29,542","3,576,687","129,554,851","105,767,289","11,456","3,193,179","2,152,565","11,527,280","466,140","73,958,091","14,145,985","91,308,711","462,652","701,554","9,612,356","10,776,562","26,338,699","11,858,817","4,432,139","2,104,857","2,472,361","1,308,216","584,993","49,100,082",,"2,822,758","75,851","678,186","3,576,795","2,898,609",,,,,,,,,,,,,,,,,,,,,,,,,,,
20142T,2014,2T,"16,199","41,985","644,518","505,551","29,975","4,097,482","124,920,968","112,820,270","11,405","3,235,074","2,267,631","8,495,449","467,941","72,264,542","11,231,021","86,742,042","675,366","643,443","9,893,251","11,212,060","27,332,775","11,956,399","4,404,940","2,121,469","2,499,294","1,314,504","580,711","50,210,092",,"2,960,779","88,112","656,475","3,705,366","3,048,891",,,,,,,,,,,,,,,,,,,,,,,,,,,
20143T,2014,3T,"16,238","42,695","696,671","548,322","30,295","3,244,846","124,118,500","127,871,711","10,702","3,202,237","1,766,668","10,124,855","437,137","72,640,827","12,328,660","88,182,426","696,964","659,109","10,464,258","11,820,331","26,649,385","12,035,273","4,424,059","2,177,392","2,365,040","1,319,767","580,477","49,551,393",,"2,997,011","90,643","696,085","3,783,739","3,087,654",,,,,,,,,,,,,,,,,,,,,,,,,,,
20144T,2014,4T,"16,203","43,715","731,037","573,674","29,439","5,087,915","165,175,092","130,572,723","10,457","3,157,136","2,037,317","11,198,097","437,291","71,619,074","13,672,705","88,459,372","707,691","647,609","10,425,972","11,781,272","27,337,136","11,199,247","4,838,761","2,446,441","2,365,040","1,320,914","587,899","50,095,438",,"2,845,317","87,240","687,107","3,619,664","2,932,557",,,,,,,,,,,,,,,,,,,,,,,,,,,
20151T,2015,1T,"16,112","43,792","734,616","579,520","29,510","5,633,104","141,812,480","145,965,166","9,824","3,183,911","2,152,927","12,113,647","434,796","72,073,572","14,701,370","89,968,677","496,017","649,823","10,569,415","11,715,255","26,805,116","10,986,765","4,821,477","2,553,815","1,995,611","1,347,506","586,235","49,096,525",,"2,848,399","84,790","712,661","3,645,850","2,933,189",,,,,,,,,,,,,,,,,,,,,,,,,,,
20152T,2015,2T,"15,798","44,429","751,669","588,049","30,000","6,279,405","139,403,703","146,235,727","8,361","3,207,908","1,948,344","12,219,573","448,003","72,183,529","14,615,920","90,015,718","578,741","587,340","9,899,809","11,065,890","27,030,817","10,633,251","4,582,705","2,669,522","2,565,838","1,349,422","579,617","49,411,172",,"2,736,566","70,537","378,186","3,185,289","2,807,103",,,,,,,,,,,,,,,,,,,,,,,,,,,
20153T,2015,3T,"15,664","45,547","795,219","614,527","30,337","6,899,796","134,169,541","146,106,033","8,944","3,285,030","1,930,175","13,563,342","441,618","74,518,606","15,935,135","93,747,715","4,677,044","767,181","7,389,386","12,833,611","24,457,431","10,675,740","4,720,253","2,669,541","1,916,650","1,354,759","585,882","46,380,256",,"2,818,188","80,877","496,067","3,395,132","2,899,065",,,,,,,,,,,,,,,,,,,,,,,,,,,
20154T,2015,4T,"15,635","46,627","851,119","645,446","31,428","7,600,420","178,328,521","163,971,714","8,671","3,196,897","2,030,772","13,424,889","453,011","74,160,586","15,908,672","93,274,826","5,004,466","802,269","7,458,440","13,265,175","24,520,645","10,434,506","4,998,625","2,705,236","3,290,100","1,379,517","601,077","47,929,706",,"2,877,340","68,475","482,773","3,428,588","2,945,815",,,,,,,,,,,,,,,,,,,,,,,,,,,
